,연도,학과,학생구분,응시자수,학과_1,학과_2,학과_3,학과_4,학생구분_1,학생구분_2,학생구분_3,학생구분_4,응시자수_1,응시자수_2,응시자수_3,응시자수_4
0,2019,건축설비소방과,신입생,70,건축학부,경영학부,글로벌외식조리학부,기계과,신입생,신입생,신입생,신입생,229.0,147.0,147.0,87.0
1,2019,건축학부,신입생,229,경영학부,글로벌외식조리학부,기계과,디지털전자과,신입생,신입생,신입생,신입생,147.0,147.0,87.0,75.0
2,2019,경영학부,신입생,147,글로벌외식조리학부,기계과,디지털전자과,메카트로닉스과,신입생,신입생,신입생,신입생,147.0,87.0,75.0,66.0
3,2019,글로벌외식조리학부,신입생,147,기계과,디지털전자과,메카트로닉스과,방송음향영상학부,신입생,신입생,신입생,신입생,87.0,75.0,66.0,112.0
4,2019,기계과,신입생,87,디지털전자과,메카트로닉스과,방송음향영상학부,비서사무행정과,신입생,신입생,신입생,신입생,75.0,66.0,112.0,77.0
5,2019,디지털전자과,신입생,75,메카트로닉스과,방송음향영상학부,비서사무행정과,사회복지과,신입생,신입생,신입생,신입생,66.0,112.0,77.0,73.0
6,2019,메카트로닉스과,신입생,66,방송음향영상학부,비서사무행정과,사회복지과,스포츠지도과,신입생,신입생,신입생,신입생,112.0,77.0,73.0,39.0
7,2019,방송음향영상학부,신입생,112,비서사무행정과,사회복지과,스포츠지도과,아동문헌정보과,신입생,신입생,신입생,신입생,77.0,73.0,39.0,62.0
8,2019,비서사무행정과,신입생,77,사회복지과,스포츠지도과,아동문헌정보과,언어재활과,신입생,신입생,신입생,신입생,73.0,39.0,62.0,42.0
9,2019,사회복지과,신입생,73,스포츠지도과,아동문헌정보과,언어재활과,유아교육과,신입생,신입생,신입생,신입생,39.0,62.0,42.0,72.0
10,2019,스포츠지도과,신입생,39,아동문헌정보과,언어재활과,유아교육과,의공융합과,신입생,신입생,신입생,신입생,62.0,42.0,72.0,31.0
11,2019,아동문헌정보과,신입생,62,언어재활과,유아교육과,의공융합과,자동차학부,신입생,신입생,신입생,신입생,42.0,72.0,31.0,111.0
12,2019,언어재활과,신입생,42,유아교육과,의공융합과,자동차학부,자동화시스템과,신입생,신입생,신입생,신입생,72.0,31.0,111.0,63.0
13,2019,유아교육과,신입생,72,의공융합과,자동차학부,자동화시스템과,전기과,신입생,신입생,신입생,신입생,31.0,111.0,63.0,76.0
14,2019,의공융합과,신입생,31,자동차학부,자동화시스템과,전기과,전자통신과,신입생,신입생,신입생,신입생,111.0,63.0,76.0,75.0
15,2019,자동차학부,신입생,111,자동화시스템과,전기과,전자통신과,컴퓨터정보학부,신입생,신입생,신입생,신입생,63.0,76.0,75.0,136.0
16,2019,자동화시스템과,신입생,63,전기과,전자통신과,컴퓨터정보학부,토목환경과,신입생,신입생,신입생,신입생,76.0,75.0,136.0,58.0
17,2019,전기과,신입생,76,전자통신과,컴퓨터정보학부,토목환경과,항공호텔관광학부,신입생,신입생,신입생,신입생,75.0,136.0,58.0,160.0
18,2019,전자통신과,신입생,75,컴퓨터정보학부,토목환경과,항공호텔관광학부,건축과,신입생,신입생,신입생,재학생,136.0,58.0,160.0,63.0
19,2019,컴퓨터정보학부,신입생,136,토목환경과,항공호텔관광학부,건축과,건축설비소방과,신입생,신입생,재학생,재학생,58.0,160.0,63.0,59.0
20,2019,토목환경과,신입생,58,항공호텔관광학부,건축과,건축설비소방과,경영과,신입생,재학생,재학생,재학생,160.0,63.0,59.0,67.0
21,2019,항공호텔관광학부,신입생,160,건축과,건축설비소방과,경영과,기계과,재학생,재학생,재학생,재학생,63.0,59.0,67.0,55.0
22,2019,건축과,재학생,63,건축설비소방과,경영과,기계과,디지털전자과,재학생,재학생,재학생,재학생,59.0,67.0,55.0,56.0
23,2019,건축설비소방과,재학생,59,경영과,기계과,디지털전자과,메카트로닉스과,재학생,재학생,재학생,재학생,67.0,55.0,56.0,28.0
24,2019,경영과,재학생,67,기계과,디지털전자과,메카트로닉스과,모바일인터넷과,재학생,재학생,재학생,재학생,55.0,56.0,28.0,47.0
25,2019,기계과,재학생,55,디지털전자과,메카트로닉스과,모바일인터넷과,방송음향영상과,재학생,재학생,재학생,재학생,56.0,28.0,47.0,55.0
26,2019,디지털전자과,재학생,56,메카트로닉스과,모바일인터넷과,방송음향영상과,비서사무행정과,재학생,재학생,재학생,재학생,28.0,47.0,55.0,53.0
27,2019,메카트로닉스과,재학생,28,모바일인터넷과,방송음향영상과,비서사무행정과,사회복지과,재학생,재학생,재학생,재학생,47.0,55.0,53.0,52.0
28,2019,모바일인터넷과,재학생,47,방송음향영상과,비서사무행정과,사회복지과,산업경영과,재학생,재학생,재학생,재학생,55.0,53.0,52.0,25.0
29,2019,방송음향영상과,재학생,55,비서사무행정과,사회복지과,산업경영과,세무회계과,재학생,재학생,재학생,재학생,53.0,52.0,25.0,61.0
30,2019,비서사무행정과,재학생,53,사회복지과,산업경영과,세무회계과,스포츠지도과,재학생,재학생,재학생,재학생,52.0,25.0,61.0,53.0
31,2019,사회복지과,재학생,52,산업경영과,세무회계과,스포츠지도과,실내디자인과(학부),재학생,재학생,재학생,재학생,25.0,61.0,53.0,60.0
32,2019,산업경영과,재학생,25,세무회계과,스포츠지도과,실내디자인과(학부),아동문헌정보과,재학생,재학생,재학생,재학생,61.0,53.0,60.0,51.0
33,2019,세무회계과,재학생,61,스포츠지도과,실내디자인과(학부),아동문헌정보과,언어재활과,재학생,재학생,재학생,재학생,53.0,60.0,51.0,37.0
34,2019,스포츠지도과,재학생,53,실내디자인과(학부),아동문헌정보과,언어재활과,유아교육과,재학생,재학생,재학생,재학생,60.0,51.0,37.0,60.0
35,2019,실내디자인과(학부),재학생,60,아동문헌정보과,언어재활과,유아교육과,의공융합과,재학생,재학생,재학생,재학생,51.0,37.0,60.0,29.0
36,2019,아동문헌정보과,재학생,51,언어재활과,유아교육과,의공융합과,자동차과,재학생,재학생,재학생,재학생,37.0,60.0,29.0,121.0
37,2019,언어재활과,재학생,37,유아교육과,의공융합과,자동차과,자동화시스템과,재학생,재학생,재학생,재학생,60.0,29.0,121.0,36.0
38,2019,유아교육과,재학생,60,의공융합과,자동차과,자동화시스템과,전기과,재학생,재학생,재학생,재학생,29.0,121.0,36.0,48.0
39,2019,의공융합과,재학생,29,자동차과,자동화시스템과,전기과,전자통신과,재학생,재학생,재학생,재학생,121.0,36.0,48.0,41.0
