연도,학과,학생구분,응시자수
2019,건축설비소방과,신입생,70
2019,건축학부,신입생,229
2019,경영학부,신입생,147
2019,글로벌외식조리학부,신입생,147
2019,기계과,신입생,87
2019,디지털전자과,신입생,75
2019,메카트로닉스과,신입생,66
2019,방송음향영상학부,신입생,112
2019,비서사무행정과,신입생,77
2019,사회복지과,신입생,73
2019,스포츠지도과,신입생,39
2019,아동문헌정보과,신입생,62
2019,언어재활과,신입생,42
2019,유아교육과,신입생,72
2019,의공융합과,신입생,31
2019,자동차학부,신입생,111
2019,자동화시스템과,신입생,63
2019,전기과,신입생,76
2019,전자통신과,신입생,75
2019,컴퓨터정보학부,신입생,136
2019,토목환경과,신입생,58
2019,항공호텔관광학부,신입생,160
2019,건축과,재학생,63
2019,경영과,재학생,67
2019,모바일인터넷과,재학생,47
2019,방송음향영상과,재학생,55
2019,산업경영과,재학생,25
2019,세무회계과,재학생,61
2019,실내디자인과(학부),재학생,60
2019,자동차과,재학생,121
2019,컴퓨터소프트웨어과,재학생,58
2019,항공서비스과,재학생,63
2019,호텔관광과,재학생,54
2019,호텔외식서비스과,재학생,40
2019,호텔조리과,재학생,72
2018,건축과,신입생,35
2018,건축설비소방과,신입생,41
2018,경영과,신입생,31
2018,기계과,신입생,32
2018,디지털전자과,신입생,72
2018,메카트로닉스과,신입생,35
2018,모바일인터넷과,신입생,64
2018,방송음향영상과,신입생,38
2018,비서사무행정과,신입생,33
2018,사회복지과,신입생,38
2018,산업경영과,신입생,44
2018,세무회계과,신입생,36
2018,스포츠지도과,신입생,48
2018,실내디자인과,신입생,38
2018,아동문헌정보과,신입생,34
2018,언어재활과,신입생,42
2018,유아교육과,신입생,33
2018,의공융합과,신입생,42
2018,자동차과,신입생,35
2018,자동화시스템,신입생,27
2018,전기과,신입생,61
2018,전자통신과,신입생,38
2018,컴퓨터소프트웨어과,신입생,67
2018,토목환경과,신입생,43
2018,항공서비스과,신입생,37
2018,호텔관광과,신입생,36
2018,호텔외식서비스과,신입생,78
2018,호텔조리과,신입생,30
2017,아동문헌정보과,신입생,74
2017,건축과,신입생,110
2017,건축설비소방과,신입생,75
2017,경영과,신입생,73
2017,기계과,신입생,80
2017,디지털전자과,신입생,79
2017,메카트로닉스과,신입생,78
2017,모바일인터넷과,신입생,73
2017,문헌정보과,신입생,77
2017,방송음향영상과,신입생,78
2017,비서사무행정과,신입생,75
2017,사회복지과,신입생,79
2017,산업경영과,신입생,74
2017,세무회계과,신입생,76
2017,스포츠지도과,신입생,41
2017,실내디자인과,신입생,117
2017,언어재활과,신입생,43
2017,유아교육과,신입생,110
2017,의공융합과,신입생,43
2017,자동차과,신입생,125
2017,자동화시스템과,신입생,75
2017,전기과,신입생,73
2017,전자통신과,신입생,80
2017,컴퓨터소프트웨어과,신입생,76
2017,토목환경과,신입생,74
2017,항공서비스과,신입생,81
2017,호텔관광과,신입생,74
2017,호텔외식서비스과,신입생,83
2017,호텔조리과,신입생,122
2016,건축과,신입생,110
2016,건축설비소방과,신입생,75
2016,경영과,신입생,73
2016,기계과,신입생,80
2016,디지털전자과,신입생,79
2016,메카트로닉스과,신입생,78
2016,모바일인터넷과,신입생,73
2016,문헌정보과,신입생,77
2016,방송음향영상과,신입생,78
2016,비서사무행정과,신입생,75
2016,사회복지과,신입생,79
2016,산업경영과,신입생,74
2016,세무회계과,신입생,76
2016,스포츠지도과,신입생,41
2016,실내디자인과,신입생,117
2016,언어재활과,신입생,43
2016,유아교육과,신입생,110
2016,의공융합과,신입생,43
2016,자동차과,신입생,125
2016,자동화시스템과,신입생,75
2016,전기과,신입생,73
2016,전자통신과,신입생,80
2016,컴퓨터소프트웨어과,신입생,76
2016,토목환경과,신입생,74
2016,항공서비스과,신입생,81
2016,호텔관광과,신입생,74
2016,호텔외식서비스과,신입생,83
2016,호텔조리과,신입생,122
2015,기계과,신입생,41
2015,메카트로닉스과,신입생,39
2015,자동차과,신입생,58
2015,전기과,신입생,41
2015,자동화시스템과,신입생,33
2015,산업경영과,신입생,40
2015,의공융합과,신입생,33
2015,토목환경과,신입생,39
2015,건축과,신입생,77
2015,건축설비소방과,신입생,45
2015,실내디자인과,신입생,31
2015,디지털전자과,신입생,37
2015,전자통신과,신입생,26
2015,방송음향영상과,신입생,27
2015,컴퓨터소프트웨어과,신입생,39
2015,모바일인터넷과,신입생,35
2015,경영과,신입생,46
2015,세무회계과,신입생,38
2015,사회복지과,신입생,53
2015,호텔관광과,신입생,33
2015,항공서비스과,신입생,36
2015,문헌정보과,신입생,33
2015,비서사무행정과,신입생,36
2015,유아교육과,신입생,36
2015,스포츠지도과,신입생,40
2015,호텔조리과,신입생,27
2015,호텔외식서비스과,신입생,27
2015,언어재활과,신입생,33
2015,중국비즈니스과,신입생,1
